id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,kfold
19807,47,blue-collar,married,secondary,no,323,no,no,unknown,30,jun,385,1,-1,0,unknown,0,0
25124,29,blue-collar,married,secondary,no,296,yes,no,unknown,4,jun,153,1,-1,0,unknown,0,0
4781,39,services,single,secondary,no,0,yes,yes,cellular,20,apr,286,4,-1,0,unknown,0,0
7109,38,admin.,married,secondary,no,76,no,no,cellular,20,nov,129,1,-1,0,unknown,0,0
15809,27,admin.,single,unknown,no,56,yes,no,unknown,16,may,730,2,-1,0,unknown,0,0
25509,58,management,divorced,tertiary,no,5701,no,no,cellular,14,aug,92,3,106,2,success,0,0
1854,54,management,married,tertiary,no,11391,no,no,cellular,4,aug,333,1,-1,0,unknown,0,0
733,39,admin.,single,secondary,no,2040,yes,no,unknown,2,jun,145,2,-1,0,unknown,0,0
13788,35,admin.,single,secondary,no,303,no,no,cellular,24,sep,173,2,190,10,other,1,0
4715,38,technician,married,secondary,no,994,no,no,unknown,9,jun,119,1,-1,0,unknown,0,0
11097,50,management,married,tertiary,no,511,yes,no,cellular,5,aug,36,1,-1,0,unknown,0,0
21211,61,retired,divorced,secondary,no,0,no,no,cellular,5,may,272,3,-1,0,unknown,0,0
23772,54,blue-collar,married,secondary,no,448,yes,yes,cellular,5,aug,98,1,-1,0,unknown,0,0
24405,49,blue-collar,divorced,secondary,no,4177,yes,no,cellular,15,jul,275,4,-1,0,unknown,0,0
16728,35,blue-collar,single,secondary,no,1253,no,no,unknown,29,may,2260,2,-1,0,unknown,0,0
25815,42,technician,married,secondary,no,3228,no,no,cellular,21,nov,133,1,-1,0,unknown,0,0
26991,41,technician,married,secondary,no,349,no,yes,cellular,27,feb,48,1,-1,0,unknown,0,0
18540,51,management,single,tertiary,no,5341,no,no,cellular,30,apr,184,2,-1,0,unknown,0,0
20980,54,blue-collar,divorced,primary,no,215,yes,no,unknown,4,jun,71,5,-1,0,unknown,0,0
23376,35,management,married,tertiary,no,2793,no,no,cellular,20,nov,258,2,-1,0,unknown,0,0
7337,41,technician,married,secondary,no,1297,no,no,unknown,6,jun,82,1,-1,0,unknown,0,0
19887,30,admin.,single,tertiary,no,261,no,no,cellular,19,oct,233,1,137,20,failure,0,0
21151,26,blue-collar,married,secondary,no,246,yes,no,unknown,16,may,1143,3,-1,0,unknown,1,0
5106,41,blue-collar,married,primary,no,293,yes,yes,cellular,7,may,102,1,-1,0,unknown,0,0
24951,31,admin.,married,secondary,no,1098,yes,no,unknown,23,may,427,2,-1,0,unknown,0,0
16470,34,technician,married,tertiary,no,0,no,no,cellular,11,aug,68,4,-1,0,unknown,0,0
14654,42,management,married,tertiary,no,477,yes,no,unknown,5,jun,517,3,-1,0,unknown,0,0
21112,70,retired,divorced,secondary,no,0,no,no,cellular,8,sep,206,1,-1,0,unknown,1,0
13848,28,technician,single,secondary,no,213,yes,no,unknown,19,may,267,1,-1,0,unknown,0,0
25582,75,retired,married,tertiary,no,4912,no,no,telephone,20,oct,238,2,183,5,failure,0,0
1761,37,management,married,tertiary,no,727,no,no,cellular,21,aug,176,10,-1,0,unknown,0,0
4636,57,retired,married,tertiary,no,0,no,no,cellular,28,may,141,3,-1,0,unknown,0,0
19459,39,admin.,divorced,secondary,no,-328,no,yes,cellular,31,jul,16,27,-1,0,unknown,0,0
11014,54,technician,divorced,secondary,no,2156,yes,no,cellular,3,feb,261,1,195,4,failure,1,0
26248,36,technician,single,tertiary,no,470,yes,no,cellular,16,apr,123,3,265,13,success,0,0
2663,38,blue-collar,married,secondary,no,-390,yes,no,unknown,5,may,287,1,-1,0,unknown,0,0
21469,47,admin.,married,unknown,no,0,yes,no,cellular,21,nov,85,1,198,1,failure,0,0
3579,37,technician,single,tertiary,no,6889,yes,no,cellular,17,apr,108,2,147,1,failure,0,0
22769,51,retired,married,primary,no,67,no,no,unknown,18,jun,835,1,-1,0,unknown,1,0
18179,45,blue-collar,married,primary,no,2217,yes,no,unknown,15,may,126,1,-1,0,unknown,0,0
8177,29,admin.,divorced,secondary,no,891,no,no,unknown,12,may,820,1,-1,0,unknown,0,0
22464,32,blue-collar,married,primary,no,697,yes,no,unknown,23,may,700,1,-1,0,unknown,0,0
21412,58,management,divorced,tertiary,no,1257,no,no,cellular,5,aug,1536,1,-1,0,unknown,1,0
2180,57,technician,married,secondary,no,1741,no,no,cellular,23,jul,364,2,-1,0,unknown,0,0
25561,41,housemaid,married,tertiary,no,38,yes,no,unknown,15,may,230,7,-1,0,unknown,0,0
3765,35,blue-collar,married,secondary,no,1993,yes,no,cellular,8,apr,462,2,-1,0,unknown,0,0
2714,50,admin.,single,secondary,no,3702,no,no,cellular,16,oct,109,5,-1,0,unknown,0,0
26651,56,retired,married,secondary,no,-113,yes,yes,cellular,12,aug,614,2,-1,0,unknown,0,0
12346,33,management,single,tertiary,no,307,no,no,cellular,23,jul,113,6,179,4,failure,0,0
7327,46,unemployed,married,primary,no,1,yes,no,cellular,31,jul,43,2,-1,0,unknown,0,0
8042,37,admin.,divorced,secondary,no,295,yes,yes,cellular,11,may,202,3,265,2,failure,0,0
13395,38,admin.,single,secondary,no,221,yes,no,unknown,6,may,211,2,-1,0,unknown,0,0
8484,39,services,divorced,secondary,no,229,yes,no,cellular,4,feb,238,1,-1,0,unknown,0,0
10592,52,entrepreneur,married,primary,no,592,no,no,cellular,21,jul,122,2,-1,0,unknown,0,0
21322,40,blue-collar,married,primary,no,117,yes,no,unknown,9,may,215,2,-1,0,unknown,0,0
25678,32,management,single,tertiary,no,12569,no,no,cellular,1,jul,561,2,295,2,success,1,0
18395,55,blue-collar,married,unknown,no,6134,no,no,cellular,6,aug,127,2,-1,0,unknown,0,0
11062,54,technician,married,secondary,no,1076,no,no,cellular,28,jan,338,1,-1,0,unknown,0,0
4193,42,blue-collar,married,secondary,no,1958,yes,no,unknown,30,may,124,3,-1,0,unknown,0,0
16167,28,self-employed,single,tertiary,no,0,yes,no,cellular,21,jul,479,1,-1,0,unknown,0,0
8597,36,unemployed,single,tertiary,no,1291,no,no,cellular,3,feb,298,1,-1,0,unknown,1,0
17828,32,technician,single,secondary,no,5118,yes,no,cellular,27,aug,263,12,-1,0,unknown,0,0
25533,57,admin.,married,secondary,no,2,no,no,telephone,10,jul,144,2,-1,0,unknown,0,0
25848,57,management,married,tertiary,no,2101,no,no,cellular,18,nov,101,5,-1,0,unknown,0,0
2557,53,entrepreneur,married,secondary,no,111,yes,no,cellular,20,nov,600,3,189,2,failure,0,0
10638,42,blue-collar,married,primary,no,401,yes,no,cellular,21,jul,581,4,-1,0,unknown,0,0
6538,39,management,divorced,tertiary,no,1387,yes,no,cellular,14,aug,373,2,-1,0,unknown,0,0
8902,56,entrepreneur,married,tertiary,no,-65,yes,no,unknown,30,jun,45,2,-1,0,unknown,0,0
11022,29,self-employed,married,tertiary,no,4,no,no,cellular,5,feb,156,1,-1,0,unknown,0,0
11313,51,technician,married,tertiary,no,-3,no,no,cellular,25,aug,91,9,-1,0,unknown,0,0
24661,40,blue-collar,married,secondary,no,123,yes,no,cellular,2,feb,247,1,241,3,failure,0,0
4415,33,technician,single,secondary,no,930,yes,no,cellular,15,may,163,5,359,1,failure,0,0
6423,34,management,divorced,tertiary,no,528,yes,no,cellular,17,apr,233,2,-1,0,unknown,0,0
23443,32,blue-collar,married,primary,no,252,yes,no,cellular,15,may,52,1,-1,0,unknown,0,0
17139,30,services,single,secondary,no,-386,yes,no,cellular,29,jan,196,1,237,2,other,0,0
14224,45,blue-collar,divorced,primary,no,1512,yes,no,cellular,9,feb,13,11,-1,0,unknown,0,0
10402,52,blue-collar,divorced,secondary,no,1912,yes,yes,cellular,28,jul,123,2,-1,0,unknown,0,0
13909,29,student,single,secondary,no,209,yes,no,unknown,6,may,311,2,-1,0,unknown,0,0
3517,36,blue-collar,married,unknown,no,722,yes,no,unknown,20,may,268,2,-1,0,unknown,0,0
26798,60,management,married,secondary,no,0,no,no,telephone,22,feb,230,2,126,6,failure,0,0
4060,46,blue-collar,divorced,secondary,no,2441,no,no,unknown,19,jun,217,2,-1,0,unknown,0,0
25750,55,retired,single,primary,no,700,no,yes,unknown,27,jun,141,1,-1,0,unknown,0,0
3381,50,blue-collar,single,primary,no,1558,yes,no,cellular,3,feb,294,1,265,1,other,0,0
8069,31,blue-collar,single,tertiary,no,-701,yes,no,unknown,27,may,42,3,-1,0,unknown,0,0
14,31,management,divorced,tertiary,no,883,yes,no,cellular,5,mar,112,2,106,1,failure,1,0
8413,37,entrepreneur,married,tertiary,no,189,no,no,cellular,2,jun,253,2,-1,0,unknown,1,0
3530,24,student,single,secondary,no,1847,no,no,cellular,9,dec,390,1,-1,0,unknown,0,0
10726,35,admin.,married,secondary,no,126,yes,no,cellular,8,apr,268,1,-1,0,unknown,0,0
20724,36,admin.,single,secondary,no,1281,no,no,telephone,24,jul,119,2,-1,0,unknown,0,0
6115,55,blue-collar,married,secondary,no,2059,yes,no,cellular,11,may,149,1,259,4,failure,0,0
24701,40,blue-collar,married,unknown,no,222,yes,no,unknown,20,may,465,8,-1,0,unknown,0,0
4339,49,self-employed,married,secondary,no,0,no,no,cellular,26,aug,175,6,-1,0,unknown,0,0
24980,32,admin.,single,secondary,no,211,yes,no,cellular,18,may,114,1,-1,0,unknown,0,0
15409,44,blue-collar,married,unknown,no,146,yes,no,unknown,15,may,483,1,-1,0,unknown,1,0
3008,46,technician,married,tertiary,no,31630,no,no,cellular,30,nov,448,2,214,1,failure,0,0
17682,44,entrepreneur,divorced,tertiary,no,316,yes,no,cellular,18,nov,244,1,-1,0,unknown,0,0
21684,32,management,single,secondary,no,1473,no,no,cellular,14,aug,253,7,-1,0,unknown,0,0
3589,28,blue-collar,married,secondary,no,4287,no,no,cellular,30,apr,171,1,-1,0,unknown,0,0
15803,36,blue-collar,married,unknown,no,70,yes,no,unknown,8,may,219,4,-1,0,unknown,0,0
26769,39,technician,single,tertiary,no,5803,no,no,cellular,2,feb,83,3,-1,0,unknown,0,0
5017,26,blue-collar,single,secondary,no,2669,yes,no,cellular,16,apr,242,1,-1,0,unknown,0,0
7091,31,management,single,tertiary,no,2915,no,no,cellular,3,feb,211,1,-1,0,unknown,0,0
4320,50,management,married,tertiary,no,0,no,no,unknown,6,may,326,1,-1,0,unknown,0,0
4611,42,admin.,divorced,secondary,no,256,no,no,cellular,8,may,322,1,323,1,failure,0,0
20608,55,blue-collar,married,secondary,no,388,no,no,cellular,12,aug,187,2,-1,0,unknown,0,0
9442,47,technician,married,secondary,no,1233,yes,no,unknown,11,sep,91,1,100,2,other,1,0
16128,64,retired,married,tertiary,no,2139,no,no,cellular,13,jan,230,1,91,2,failure,0,0
10409,32,blue-collar,married,primary,no,39,yes,no,cellular,7,may,128,1,-1,0,unknown,0,0
19412,59,services,married,primary,no,4295,no,no,telephone,29,jul,129,3,-1,0,unknown,0,0
19398,44,technician,divorced,secondary,no,65,no,no,cellular,21,aug,148,4,-1,0,unknown,0,0
13219,59,admin.,married,unknown,no,64343,no,no,cellular,6,aug,45,4,-1,0,unknown,0,0
7572,27,services,single,secondary,no,453,no,no,cellular,19,apr,142,2,-1,0,unknown,1,0
4337,40,management,married,tertiary,no,416,yes,no,cellular,24,jul,55,2,-1,0,unknown,0,0
6963,35,management,married,tertiary,no,77,no,no,cellular,12,aug,69,4,-1,0,unknown,0,0
15126,24,blue-collar,married,primary,no,933,yes,no,unknown,28,may,62,3,-1,0,unknown,0,0
7286,45,technician,married,secondary,no,3583,yes,no,unknown,15,may,191,1,-1,0,unknown,0,0
15797,30,management,single,tertiary,no,796,no,yes,cellular,26,aug,366,13,-1,0,unknown,0,0
17486,31,services,single,tertiary,no,1025,no,no,unknown,20,may,72,3,-1,0,unknown,0,0
424,51,admin.,married,secondary,no,21,no,yes,cellular,13,aug,157,2,-1,0,unknown,0,0
25006,57,management,married,unknown,no,0,no,no,cellular,30,sep,585,1,-1,0,unknown,0,0
25348,35,blue-collar,married,unknown,no,444,no,no,cellular,2,jun,59,2,-1,0,unknown,0,0
16955,57,technician,married,secondary,no,9689,yes,no,unknown,20,jun,313,1,-1,0,unknown,0,0
3759,32,blue-collar,single,primary,no,1137,yes,yes,cellular,6,may,274,1,-1,0,unknown,0,0
14663,42,blue-collar,married,unknown,no,665,yes,no,cellular,16,apr,291,1,332,3,failure,0,0
8355,38,unemployed,married,tertiary,no,201,no,no,cellular,4,feb,209,1,-1,0,unknown,0,0
13253,42,blue-collar,married,unknown,no,132,yes,no,unknown,6,may,238,1,-1,0,unknown,0,0
1989,36,management,divorced,secondary,no,1655,yes,no,cellular,18,nov,155,2,-1,0,unknown,0,0
1820,45,management,divorced,tertiary,no,335,no,no,cellular,5,aug,297,1,-1,0,unknown,0,0
17824,46,management,married,tertiary,no,16,yes,no,cellular,6,may,304,1,-1,0,unknown,0,0
16724,43,blue-collar,married,primary,no,0,yes,no,cellular,12,may,48,3,285,4,failure,0,0
5421,26,management,single,tertiary,no,1274,yes,no,cellular,9,mar,101,1,-1,0,unknown,0,0
2101,33,technician,single,tertiary,no,696,no,yes,cellular,5,feb,193,1,176,8,failure,0,0
14253,55,blue-collar,married,primary,no,0,yes,yes,unknown,12,may,467,5,-1,0,unknown,0,0
20399,61,blue-collar,married,primary,no,7879,no,no,telephone,28,jul,186,9,-1,0,unknown,0,0
5740,46,management,divorced,secondary,no,177,no,no,cellular,20,aug,84,2,-1,0,unknown,0,0
26685,26,blue-collar,married,primary,no,5116,yes,no,cellular,22,jul,246,3,-1,0,unknown,0,0
14788,35,blue-collar,single,unknown,no,871,yes,no,unknown,6,jun,216,3,-1,0,unknown,0,0
11912,49,admin.,married,secondary,no,197,yes,no,cellular,13,oct,404,1,68,1,other,0,0
22511,33,management,single,tertiary,no,7084,no,no,cellular,27,aug,512,8,-1,0,unknown,1,0
19809,34,blue-collar,divorced,unknown,no,172,no,no,cellular,15,jun,177,1,-1,0,unknown,1,0
4399,33,technician,married,secondary,no,804,no,yes,telephone,18,aug,212,2,-1,0,unknown,0,0
13631,26,services,married,secondary,no,0,yes,no,cellular,18,may,130,4,-1,0,unknown,0,0
6644,29,blue-collar,married,secondary,no,-478,no,yes,cellular,8,jul,528,2,-1,0,unknown,0,0
7458,43,blue-collar,married,primary,no,479,yes,no,cellular,14,may,293,2,370,2,failure,0,0
24431,59,retired,married,secondary,no,11,no,no,cellular,20,nov,318,2,-1,0,unknown,0,0
11629,34,services,divorced,secondary,no,380,yes,yes,cellular,25,jul,102,2,-1,0,unknown,0,0
9829,42,blue-collar,married,primary,no,530,no,no,unknown,11,jun,850,8,-1,0,unknown,0,0
6646,51,self-employed,married,tertiary,no,2235,no,no,cellular,21,nov,8,3,-1,0,unknown,0,0
11038,50,services,single,secondary,no,1205,yes,no,unknown,6,jun,82,2,-1,0,unknown,0,0
541,56,retired,married,secondary,no,878,no,no,unknown,20,jun,123,3,-1,0,unknown,0,0
2846,44,blue-collar,married,primary,no,0,yes,no,cellular,30,jul,83,2,-1,0,unknown,0,0
2132,30,management,single,tertiary,no,220,no,yes,cellular,12,aug,111,2,-1,0,unknown,0,0
10308,43,management,divorced,tertiary,no,221,yes,no,cellular,11,may,313,1,369,2,failure,0,0
15952,36,technician,single,secondary,no,125,yes,no,cellular,15,may,676,3,-1,0,unknown,1,0
4786,36,self-employed,single,tertiary,no,583,no,no,cellular,30,jan,859,1,235,1,other,0,0
25676,53,housemaid,married,secondary,no,1103,no,no,cellular,22,jul,274,6,-1,0,unknown,0,0
3142,25,technician,single,tertiary,no,148,no,no,cellular,23,jul,421,1,-1,0,unknown,0,0
26459,51,technician,married,secondary,yes,61,no,yes,telephone,30,jul,27,20,-1,0,unknown,0,0
1575,59,retired,divorced,secondary,no,23,no,no,cellular,7,jul,66,1,-1,0,unknown,0,0
15548,35,management,single,tertiary,no,134,no,no,cellular,4,feb,219,1,-1,0,unknown,0,0
23330,34,management,married,tertiary,no,676,no,no,cellular,7,may,156,1,177,1,success,0,0
21544,43,blue-collar,married,secondary,no,664,yes,no,unknown,12,jun,354,1,-1,0,unknown,0,0
7182,51,blue-collar,married,secondary,no,-237,yes,yes,cellular,20,apr,379,3,320,2,other,0,0
3564,47,technician,divorced,secondary,no,1013,no,no,cellular,15,sep,170,1,92,3,failure,1,0
671,26,unknown,single,secondary,no,3247,no,no,telephone,6,feb,341,3,-1,0,unknown,0,0
7928,60,admin.,married,secondary,no,2552,no,yes,cellular,30,jan,255,2,2,4,other,0,0
26299,60,management,divorced,tertiary,no,2589,yes,no,unknown,19,may,134,2,-1,0,unknown,0,0
1110,30,entrepreneur,married,secondary,no,1539,yes,yes,unknown,27,may,166,9,-1,0,unknown,0,0
1602,56,blue-collar,married,primary,no,313,no,no,cellular,28,aug,24,16,-1,0,unknown,0,0
26279,48,blue-collar,married,secondary,no,5306,yes,no,cellular,18,may,66,2,368,1,failure,0,0
2310,39,management,married,tertiary,no,1301,no,no,cellular,13,aug,233,1,-1,0,unknown,0,0
8867,30,blue-collar,single,secondary,no,1837,yes,no,cellular,18,may,109,2,-1,0,unknown,0,0
1635,48,technician,married,secondary,no,-938,yes,no,cellular,7,may,134,1,344,2,failure,0,0
6941,46,housemaid,married,unknown,no,1035,no,no,unknown,16,jun,703,1,-1,0,unknown,0,0
22197,29,blue-collar,married,secondary,no,59,yes,yes,cellular,14,may,100,3,356,2,failure,0,0
2725,35,housemaid,married,primary,no,0,no,yes,telephone,9,jul,17,1,-1,0,unknown,0,0
5356,37,admin.,married,secondary,no,2320,yes,no,cellular,20,apr,59,3,342,1,other,0,0
17528,33,admin.,married,secondary,no,220,yes,no,unknown,27,may,345,1,-1,0,unknown,0,0
